cafe_id,cafe_image
155,https://drive.google.com/uc?id=1rLaYW6MIPH77fZSjdPJjC0vin2IDKltm
156,https://drive.google.com/uc?id=1kT7y8eCmbpL79e2bnbZmI7payw_cJDJl
157,https://drive.google.com/uc?id=13Llpi5bh2Z0E_YaoYA1F-qFdNo3mDTmm
158,https://drive.google.com/uc?id=1hCE2baAzcgYwouWdQEccYRcwK3TZ6FWD
159,https://drive.google.com/uc?id=18Un0S3o-GZEVpVqKrRahlgdC1BqHTZmT
160,https://drive.google.com/uc?id=1aSytuCxEyNOya9UcnGv4bWp-rMeUueWN
161,https://drive.google.com/uc?id=1wXEksADs5u7EyHVkpiqhQ1UosQQT4A2s
162,https://drive.google.com/uc?id=1g0Um9bFQEH7XpwRQAwoaZv8-zCpdRXZK
165,https://drive.google.com/uc?id=1vxEfFVFpV3XoC9GXPoEHA_mo7WWPTb6n
166,https://drive.google.com/uc?id=1qES0gPtPyqVpwwTCJ3SEpZLMPN4r0lWf
167,https://drive.google.com/uc?id=19mjFECkKzBWTz9IeQpwOEp10mAfc0eVh
169,https://drive.google.com/uc?id=1OWNQikUNnFHh3cKO6p0bVga_aoO68dUw
170,https://drive.google.com/uc?id=1zkitE8u8IPdny0fcEJOUsxgKfws3ywGl
171,https://drive.google.com/uc?id=1h0cYKwVK6odVS_-V5tB8-zwPKh9IL7Hh
172,https://drive.google.com/uc?id=1nGS5fsAW4c8rho616rFHHRvpVI79RC28
173,https://drive.google.com/uc?id=1HpzFHQhGlThExJF65CI9ve-rpyvoYIhL
174,https://drive.google.com/uc?id=17ukCAVx5ugEoocNyKAjULWWNtohDgq8I
175,https://drive.google.com/uc?id=1gQ3SVBeD_wuwww97MDIh1CzvOZnfA9s-
177,https://drive.google.com/uc?id=1boxR_HgEcMzsqA4lNzNEhi_dWUWS08Oe
178,https://drive.google.com/uc?id=1-nM5smTM5YwHk4TT5PLO9yj08qyIztLN
179,https://drive.google.com/uc?id=1zpyu2UyH82jEH4LxWEyaTvwqDsjdfYDS
180,https://drive.google.com/uc?id=1Ty8F9oM0P4U0gdTbVkf2NJXIIlALQYzA
181,https://drive.google.com/uc?id=13aiuZq0OrjUzxcZplh5c1JaokFLwOfpX
182,https://drive.google.com/uc?id=1SgYcVGwx6LrQi3SsPShIyErx5Y6KV4wC
183,https://drive.google.com/uc?id=1u1nFDNz3Rg1FrFMJsHUiLPWth7Wb-CUe
184,https://drive.google.com/uc?id=1xSQ0q-3Q3EnqwdZi-yxz4dCfvygi3bfS
185,https://drive.google.com/uc?id=1mrHhP93NXQhyxhND_epQTHys4T6xbQYU
187,https://drive.google.com/uc?id=14cGNtzd6sijuwPTYc4i5LwtWy4PsNcWw
188,https://drive.google.com/uc?id=1tuJbHcxxsVB9-32yZjppUTrWgVCITmSm
189,https://drive.google.com/uc?id=1r-xoSvWsW50LJCE4eiKIskJ5J5rXgP7J
190,https://drive.google.com/uc?id=1NWrMz0hXDT2JjTSvKhkI78Zk61E6w-4L
192,https://drive.google.com/uc?id=1KQIA3KGIOeRtngWYBao5qdUhOXnVLMt-
193,https://drive.google.com/uc?id=1ktIHqSvkinPChV6fCNsiTsSBQv_3ZImm
197,https://drive.google.com/uc?id=1N_-4zGj_9E2DMZN2rYuHtLx1qHZS1qS8
198,https://drive.google.com/uc?id=1IwidYlH52l_OCpxFyC6b1XeLaYQzjcEC
199,https://drive.google.com/uc?id=1hD2hf79nd4XJ1tsStWcUhLJp2gxhrIcI
200,https://drive.google.com/uc?id=1-vgfFmVTApWFKQVMgXJyrIS9Oh52CJm_
201,https://drive.google.com/uc?id=10qxcGrDwfVxAL3OQE2-LRRg5qkWce7zW
202,https://drive.google.com/uc?id=1PxGvecgGqwJ9Ee8iNj5YXOiRd4Bv3_03
203,https://drive.google.com/uc?id=1VL8QjhlSuHL13kTFV7j051d0v-Zrx2a3
204,https://drive.google.com/uc?id=18jPTSBa8erUvvS8YmWWXZSGe1XSBIojH
205,https://drive.google.com/uc?id=1Bm77-JVRnHQT_e3L0SR_diSdSibUEDuI
207,https://drive.google.com/uc?id=106Tv98S1U3AwdPlXRuKgSoJ-Qb3w8gBr
208,https://drive.google.com/uc?id=1h26q69z1k-2fmJbWXRzZ7a-GhRGZw09q
209,https://drive.google.com/uc?id=17n7hJjAkWmI1DpDi9zD1gTYl_D1rpkjU
210,https://drive.google.com/uc?id=16-7A4MUEUh2ReZ34TDodetm7z1_djPT9
211,https://drive.google.com/uc?id=1fdLDYSioRmA5pSsGQxlfkgSfIHlWqQ71
213,https://drive.google.com/uc?id=1460sC2LPVP3Gjdl70JzZJwK33sJU7Yvd
215,https://drive.google.com/uc?id=15CG8G8-KKLd6ATrq5sItZjYgLEaLgGHj
218,https://drive.google.com/uc?id=1bRt9jRbZBHZjBZNT03ryDvstYCnQAj-Q
219,https://drive.google.com/uc?id=1bNBDy30RloZf4XJgBiOfsNvV4U_upQwk
220,https://drive.google.com/uc?id=1kpMxah6vy_YdIDtIhha7cwt4QPR2yYtC
221,https://drive.google.com/uc?id=15Rku6i6YvA32nUFsUfROUEpxy88lJzR-
222,https://drive.google.com/uc?id=1KxyquJTwnn_KB3zAXZizagqS_nB0OQPE
223,https://drive.google.com/uc?id=1kExX3ts1aYIlHJzwKdWQWgTF5ovWcs3S
224,https://drive.google.com/uc?id=19XA-M0KzbzFeu0FPWB2tihupLbnPT7CG
226,https://drive.google.com/uc?id=1oqvKpvZn3-zJh27mgi85GXUAVCVNn9p2
227,https://drive.google.com/uc?id=1P_6zSV5wZjY-QVf4OdLnq7nevKCCeSHq
228,https://drive.google.com/uc?id=1HUYBrszpOhcT7JQIUosP64ZTshUrsIJ_
229,https://drive.google.com/uc?id=1bRpyGYfxm4xb331dBNrGtmNHkfWqE9fq
230,https://drive.google.com/uc?id=1Z9XjT75RYV6wU5vYubqsQd0qN7G3SWUK
231,https://drive.google.com/uc?id=1hrTWoaCPitm7-4iPKKAoVvXQKkhUzPvc
233,https://drive.google.com/uc?id=1oRmlyi_pKDJGF8sQCekB7JwrFpokojFg
234,https://drive.google.com/uc?id=1daz9tY7lwgK3GXKXNucAT8Iz80MaGsiX
235,https://drive.google.com/uc?id=1T4mBZbQk3pLib6s_Kqem-XFyR7EQw2Eu
237,https://drive.google.com/uc?id=1VNhgt2LVymhRpdUCET17Hj4SERU-YCoE
238,https://drive.google.com/uc?id=1TnALFGyzMyjoCzke_HtAauWLzNr7HFw5
242,https://drive.google.com/uc?id=1UCZkYy5o8y07nH2SDk8cva1hcqwS-nRv
243,https://drive.google.com/uc?id=11zTMtGPvmZsbehaXwtep7OC-1apljtkM
245,https://drive.google.com/uc?id=1zCoDHbHe4itSMrM_wDe2y-A15lATDVvu
246,https://drive.google.com/uc?id=1xy5cKFQbKkhWyc2mydaCLyjXQZ8i7CCD
248,https://drive.google.com/uc?id=17IrCRLJv3Wxn3t2Ss4QPCgVnTmDikGJW
249,https://drive.google.com/uc?id=1tLcdoGpgTUyM4b-fF7UqO-PWDymlpU37
251,https://drive.google.com/uc?id=1Bo_nFmNiVTj0SWkwfyc6LluzCeK_S8VH
252,https://drive.google.com/uc?id=1PNBPwRe-01x7cFeg1xc_reOYl2JCFAnv
254,https://drive.google.com/uc?id=1ZBrLUAtvZaZH6lZhUikUuO71UZglGRa2
259,https://drive.google.com/uc?id=1nN0uWRp0iUGtudCVUPvVEh2C8Jd1Gr3e
260,https://drive.google.com/uc?id=11opETcIADMabNtzkz1aXnLW2WD5Jqwgx
261,https://drive.google.com/uc?id=1pirlDf1duPfvsOvKamixzWBSET7BonXs
262,https://drive.google.com/uc?id=1op22tCfQkJ3d-d9By8Ghtx8nNLjyDFnf
265,https://drive.google.com/uc?id=1c7VAwaFgiS-T-3W3iRDQ64A1LuVA0YvU
266,https://drive.google.com/uc?id=1CyBulT_4nm8tdrMrlpFjcESnmh9Athlg
268,https://drive.google.com/uc?id=1lnAJILVO_9tkr3MzHSW2EI92VoIUupf_
269,https://drive.google.com/uc?id=1JL7RgqVEOWOVp-hH8s-8llcQo_B836rL
270,https://drive.google.com/uc?id=1Gkga0nRShF487XuOAarBuHNYbFVlFOAV
271,https://drive.google.com/uc?id=1EMjWM6EKZf1GEmfsVC2tup4KY1frB0Hl
272,https://drive.google.com/uc?id=1q0VVpyST7342BsFIeTDMYG5pXdkU0dj1
273,https://drive.google.com/uc?id=1JOIsd3-ibnRYyshE3LpUD0ClItpqsKDQ
275,https://drive.google.com/uc?id=12UiuWuh3Lryvx2qnoP4bWjgdVtcZQjWX
278,https://drive.google.com/uc?id=1jD9sVeytM7aVZt_kaWYtf0WWORHpKSp_
281,https://drive.google.com/uc?id=1xxdn88-m6xQzXM7RIl533h8-IRQPcVcK
282,https://drive.google.com/uc?id=1XaafppznYz0p6mpVF90CvgcwTVP6Sl4Q
283,https://drive.google.com/uc?id=1nVaJ2v7HjIhix_kLbqSOSdFzcINsT3Y5
284,https://drive.google.com/uc?id=1LevUiN7nIJwsVOaVSchzUKpenfvKpoeg
286,https://drive.google.com/uc?id=1wzcYjhOmHCrGEHW8baZ6E9_UiqeUkDl_
287,https://drive.google.com/uc?id=1HGkGBnWq4Q6QKOQ2CChRx8S79-M3Bf-Y
289,https://drive.google.com/uc?id=1jqeQY4jDPo_oA1u7JJDVvTGhJ0gSOI_R
291,https://drive.google.com/uc?id=196mZJXD9ktW2YOvi9o5yh8JHwTepKFSM
292,https://drive.google.com/uc?id=12D7QG9FOwaKWTz3E_mUjLebe8rSfoCHF
293,https://drive.google.com/uc?id=1W_b4U40F-gPY63JSIBfGSfKoC39jNzdl
294,https://drive.google.com/uc?id=1GhLHtHd0S0QUXuKB3rGknh6SVz81lwwS
295,https://drive.google.com/uc?id=1lCvka6p31s1kxTEPBaPzg51Ng7-J0D1O
296,https://drive.google.com/uc?id=1rEi5a4kSC-M_TVQ6_j09Bi9-C1i1K6VQ
297,https://drive.google.com/uc?id=1t3B_ubo8H7vul0fCsluWZQ3ee4hdg2Y2
299,https://drive.google.com/uc?id=1YDxr5p6eK4mMTSy4b7qnE4Ee1FaHpQu5
300,https://drive.google.com/uc?id=13WuUFgiUHFeuRrHx3HoUEWr5IM8tS4dw
301,https://drive.google.com/uc?id=1OhPicKqLTFu26dtATY5JgoxN8c_HHIoT
303,https://drive.google.com/uc?id=1PkN4Pa2mBCI0hJKr54h_fCdQ3ynXaTp2
304,https://drive.google.com/uc?id=1AVQSCdZ248S_BTmOF-zeYcy2DDGt_-iC
305,https://drive.google.com/uc?id=1Efo-kK_zC3fSSaimL-YhCJBDWusAE0ww
306,https://drive.google.com/uc?id=1yq8DtiMVphl5PWJLNN-My8j7bEkga45d
310,https://drive.google.com/uc?id=100L-vxzLXGPpdSv5QyLFVrlpvFjpM3dt
311,https://drive.google.com/uc?id=1qhS8Cd3EpQtspwathGdUVw4L9afNrQAI
314,https://drive.google.com/uc?id=1HQbSsJffN6EL6VAaton6VOdLTDjKHPKv
315,https://drive.google.com/uc?id=16cj3evhTUdaWkaInGzw7bhww69Eyzen0
316,https://drive.google.com/uc?id=1ocYoJQBO-JrrjVK-F4BrNLaFqWxh5cks
317,https://drive.google.com/uc?id=1uCntVXM2uDXndjJjYLzceSMUwp34h8-f
318,https://drive.google.com/uc?id=1nQkCtTJKiCMEJsteQpyu_75UIWktH3aQ
319,https://drive.google.com/uc?id=1Y5hQpAjXsAKuaBZQNUlPkVH6kXN453h4
320,https://drive.google.com/uc?id=1oQthXldb-z8Uhh5dT--0FxW5poSoFLIt
321,https://drive.google.com/uc?id=1msSaeqfTG3VHXU0LBm5VNIRsYgHfiajx
322,https://drive.google.com/uc?id=1O2AKe4-O5-s8b_rydUUDY10GJ5dBPv_3
323,https://drive.google.com/uc?id=1JqzpV-bFPmHdt9GW7SrOOn9JCoE3WEfx
325,https://drive.google.com/uc?id=1Uy2Gmqka8lkNyPHo2-gqjEX5QwTInvRy
326,https://drive.google.com/uc?id=18YpLRF4f7K9OOSibYB6paCoxwkeDAzJW
327,https://drive.google.com/uc?id=1VGIPViQqqEEW8gE1c-DD7afNAJYewFBh
328,https://drive.google.com/uc?id=1XoR5h9TntzYidM7Ezh3UpFDuGcaODQRZ
330,https://drive.google.com/uc?id=1sjiVHb82UtI_HVhlmaK-y9m3zk9NvWdx
331,https://drive.google.com/uc?id=19Yl7F_3RkJpFeJ0wfp528JwwGF-bZmkA
333,https://drive.google.com/uc?id=1ODSSegsh5o6E8o_e-Wl-7o7dTgxMZ7Wd
